Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AgentBrain,0.993,625.928,2.467,161,0.089
AgentBrain,0.987,629.428,2.365,161,0.091
AgentBrain,0.979,633.026,2.450,161,0.093
AgentBrain,0.976,636.612,2.442,161,0.095
AgentBrain,0.986,639.979,2.242,161,0.097
AgentBrain,1.021,643.640,2.464,161,0.100
AgentBrain,0.992,647.047,2.267,161,0.102
AgentBrain,0.990,650.591,2.392,163,0.104
AgentBrain,0.990,654.233,2.499,161,0.106
AgentBrain,1.002,657.851,2.466,162,0.108
AgentBrain,0.980,661.385,2.378,161,0.110
AgentBrain,0.992,664.703,2.188,161,0.112
AgentBrain,0.995,668.266,2.409,162,0.114
AgentBrain,0.997,671.853,2.428,163,0.115
AgentBrain,0.984,675.416,2.427,162,0.116
AgentBrain,0.994,678.794,2.238,161,0.118
AgentBrain,0.999,682.274,2.310,161,0.119
AgentBrain,0.992,685.817,2.418,162,0.121
AgentBrain,1.003,689.263,2.300,161,0.123
AgentBrain,1.015,692.617,2.205,162,0.124
AgentBrain,1.010,696.181,2.394,162,0.126
AgentBrain,0.992,699.680,2.360,161,0.127
AgentBrain,1.042,703.243,2.369,161,0.129
AgentBrain,0.995,706.889,2.494,161,0.130
AgentBrain,0.988,710.352,2.327,161,0.132
AgentBrain,0.984,713.866,2.383,161,0.134
AgentBrain,0.985,717.332,2.329,161,0.135
AgentBrain,0.988,721.011,2.511,163,0.137
AgentBrain,0.996,724.669,2.502,163,0.139
AgentBrain,1.000,728.339,2.506,162,0.140
AgentBrain,0.993,731.936,2.451,161,0.142
AgentBrain,0.984,735.459,2.401,162,0.143
AgentBrain,0.985,739.234,2.643,161,0.145
AgentBrain,1.001,743.104,2.701,161,0.146
AgentBrain,1.006,746.914,2.627,161,0.148
AgentBrain,0.998,750.738,2.654,161,0.149
AgentBrain,0.993,754.474,2.583,162,0.150
AgentBrain,0.997,758.234,2.587,161,0.152
AgentBrain,0.994,761.833,2.448,162,0.153
AgentBrain,0.993,765.616,2.626,161,0.154
AgentBrain,0.984,769.401,2.639,161,0.155
AgentBrain,0.994,773.181,2.620,161,0.156
AgentBrain,0.987,776.731,2.391,161,0.158
AgentBrain,0.993,780.263,2.382,161,0.159
AgentBrain,0.992,783.880,2.474,162,0.161
AgentBrain,0.995,787.602,2.560,161,0.162
AgentBrain,1.000,791.169,2.406,161,0.163
AgentBrain,0.993,794.688,2.377,161,0.164
AgentBrain,0.993,798.416,2.563,162,0.166
AgentBrain,1.002,802.121,2.544,161,0.166
AgentBrain,0.992,805.807,2.529,161,0.168
AgentBrain,0.982,809.550,2.607,161,0.168
AgentBrain,1.001,813.247,2.540,161,0.170
AgentBrain,1.023,817.218,2.761,162,0.172
AgentBrain,1.051,821.030,2.604,161,0.173
AgentBrain,1.027,825.110,2.878,162,0.175
AgentBrain,0.999,828.983,2.708,161,0.176
AgentBrain,1.009,832.679,2.525,161,0.177
AgentBrain,1.008,836.291,2.447,161,0.179
AgentBrain,1.019,840.180,2.702,161,0.180
AgentBrain,0.991,844.101,2.764,161,0.182
AgentBrain,0.993,847.752,2.504,162,0.183
AgentBrain,1.031,851.430,2.485,162,0.185
AgentBrain,1.046,855.363,2.713,161,0.185
AgentBrain,0.985,859.148,2.637,161,0.187
AgentBrain,1.006,863.076,2.749,162,0.188
AgentBrain,1.086,867.044,2.712,162,0.190
AgentBrain,1.013,870.989,2.758,162,0.191
AgentBrain,1.004,874.729,2.570,161,0.193
AgentBrain,0.994,878.510,2.617,161,0.194
AgentBrain,1.055,882.228,2.502,161,0.195
AgentBrain,1.048,886.129,2.686,161,0.197
AgentBrain,0.992,889.888,2.600,161,0.198
AgentBrain,0.995,893.660,2.593,161,0.200
AgentBrain,1.004,897.460,2.632,161,0.201
AgentBrain,1.006,901.348,2.714,161,0.202
AgentBrain,1.063,904.949,2.396,161,0.203
AgentBrain,0.998,908.738,2.627,161,0.204
AgentBrain,0.991,912.453,2.538,161,0.206
AgentBrain,0.986,916.201,2.594,161,0.207
AgentBrain,1.003,919.837,2.468,163,0.209
AgentBrain,0.995,923.742,2.726,161,0.211
AgentBrain,0.989,927.505,2.602,162,0.212
AgentBrain,0.978,931.388,2.736,161,0.214
AgentBrain,0.995,935.194,2.646,162,0.215
AgentBrain,0.990,938.884,2.540,161,0.216
AgentBrain,0.995,942.773,2.713,161,0.217
AgentBrain,0.998,946.544,2.622,162,0.219
AgentBrain,0.986,950.569,2.841,162,0.220
AgentBrain,0.990,954.623,2.886,161,0.221
AgentBrain,0.990,958.610,2.822,161,0.223
AgentBrain,0.992,962.623,2.848,162,0.224
AgentBrain,0.996,966.672,2.846,164,0.225
AgentBrain,0.997,970.675,2.826,161,0.227
AgentBrain,0.986,974.716,2.875,161,0.228
AgentBrain,0.993,978.795,2.899,161,0.229
AgentBrain,0.999,982.958,2.979,161,0.231
AgentBrain,0.999,987.285,3.016,162,0.232
AgentBrain,0.989,991.499,3.036,161,0.233
AgentBrain,0.993,995.680,3.005,162,0.235
AgentBrain,0.990,999.706,2.853,161,0.236
AgentBrain,0.998,1003.788,2.874,163,0.237
AgentBrain,0.989,1007.991,3.036,161,0.238
AgentBrain,0.990,1012.017,2.874,161,0.239
AgentBrain,1.003,1016.003,2.798,162,0.241
AgentBrain,0.994,1020.058,2.876,161,0.242
AgentBrain,1.030,1024.051,2.783,161,0.243
AgentBrain,1.016,1028.176,2.922,161,0.244
AgentBrain,1.010,1032.354,2.979,161,0.245
AgentBrain,1.074,1036.551,2.963,161,0.246
AgentBrain,1.078,1040.747,2.940,161,0.247
AgentBrain,1.084,1045.065,3.065,161,0.248
AgentBrain,1.079,1049.415,3.092,161,0.249
AgentBrain,1.096,1053.811,3.117,162,0.250
AgentBrain,1.071,1058.030,2.957,163,0.251
AgentBrain,0.996,1061.891,2.705,161,0.252
AgentBrain,1.011,1065.997,2.915,162,0.253
AgentBrain,1.001,1070.102,2.925,162,0.254
AgentBrain,0.986,1074.154,2.891,162,0.255
AgentBrain,0.997,1078.222,2.864,161,0.256
AgentBrain,1.003,1082.293,2.889,161,0.257
AgentBrain,0.992,1086.581,3.098,161,0.258
AgentBrain,1.037,1090.672,2.888,162,0.259
AgentBrain,0.999,1094.864,3.011,161,0.260
AgentBrain,1.015,1099.186,3.111,162,0.261
AgentBrain,1.031,1103.303,2.903,162,0.262
AgentBrain,1.007,1107.328,2.834,162,0.263
AgentBrain,1.050,1111.329,2.746,161,0.264
AgentBrain,1.033,1115.733,3.172,161,0.266
AgentBrain,0.995,1119.699,2.805,161,0.267
AgentBrain,1.003,1123.797,2.905,163,0.268
AgentBrain,1.013,1127.688,2.705,161,0.269
AgentBrain,0.990,1131.705,2.839,161,0.270
AgentBrain,1.000,1135.522,2.640,161,0.271
AgentBrain,1.003,1139.457,2.751,161,0.272
AgentBrain,0.993,1143.514,2.867,161,0.273
AgentBrain,1.003,1147.365,2.681,161,0.274
AgentBrain,1.005,1151.323,2.793,161,0.275
AgentBrain,1.000,1155.382,2.859,162,0.277
AgentBrain,0.988,1159.230,2.691,161,0.277
AgentBrain,1.015,1163.209,2.806,161,0.278
AgentBrain,0.995,1167.230,2.849,161,0.279
AgentBrain,0.996,1171.118,2.695,162,0.280
AgentBrain,1.000,1174.898,2.615,161,0.281
AgentBrain,0.993,1178.656,2.595,163,0.282
AgentBrain,1.005,1182.449,2.614,161,0.283
AgentBrain,0.996,1186.252,2.640,161,0.284
AgentBrain,0.995,1190.294,2.840,163,0.285
AgentBrain,1.000,1194.169,2.732,161,0.286
AgentBrain,0.991,1198.078,2.757,161,0.287
AgentBrain,0.995,1201.992,2.768,161,0.289
AgentBrain,0.990,1206.129,2.954,162,0.290
AgentBrain,0.991,1209.989,2.670,161,0.291
AgentBrain,1.002,1214.021,2.851,162,0.292
AgentBrain,0.991,1217.998,2.801,161,0.293
AgentBrain,0.994,1221.977,2.809,161,0.294
AgentBrain,1.010,1226.099,2.923,161,0.295
AgentBrain,0.993,1230.009,2.745,161,0.296
